experiment,head,class,precision,recall,f1_score,support
C_Sampler_Only,entity_type,PRODUCT_AND_SERVICE_MANAGEMENT,0.0,0.0,0.0,7
C_Sampler_Only,entity_type,REGULATORY_AND_ENVIRONMENTAL_CONTEXT,0.6667,0.5,0.5714,4
C_Sampler_Only,entity_type,SALES_AND_CUSTOMER_ENGAGEMENT,0.3333,0.0526,0.0909,19
C_Sampler_Only,entity_type,TECHNOLOGY_AND_DIGITAL_INFRASTRUCTURE,0.0476,0.0588,0.0526,17
C_Sampler_Only,entity_type,TREATMENT_OR_HEALTHCARE,0.4615,0.4,0.4286,15
C_Sampler_Only,urgency,CRITICAL,0.0,0.0,0.0,2
C_Sampler_Only,urgency,HIGH,0.1111,0.0556,0.0741,18
C_Sampler_Only,urgency,LOW,0.4852,0.6165,0.543,133
C_Sampler_Only,urgency,MEDIUM,0.5924,0.511,0.5487,182
C_Sampler_Only,emotion,ANGER,0.3333,0.0952,0.1481,21
C_Sampler_Only,emotion,DISGUST,0.2083,0.4167,0.2778,24
C_Sampler_Only,emotion,FEAR,0.0,0.0,0.0,24
C_Sampler_Only,emotion,JOY,0.1818,0.2222,0.2,27
C_Sampler_Only,emotion,NEUTRAL,0.1667,0.0556,0.0833,18
C_Sampler_Only,emotion,SADNESS,0.1795,0.28,0.2188,25
C_Sampler_Only,emotion,SURPRISE,0.2857,0.381,0.3265,21
D_Sampler_Plus_Weighted_Loss,domain,FINANCIAL,1.0,1.0,1.0,263
D_Sampler_Plus_Weighted_Loss,domain,GENERAL,1.0,1.0,1.0,80
D_Sampler_Plus_Weighted_Loss,domain,MEDICAL,1.0,1.0,1.0,72
D_Sampler_Plus_Weighted_Loss,subdomain,GENERAL_TOPIC,0.6071,0.4722,0.5312,36
D_Sampler_Plus_Weighted_Loss,subdomain,HEALTHCARE,0.2105,0.4308,0.2828,65
D_Sampler_Plus_Weighted_Loss,subdomain,INDUSTRIAL_GOODS,0.2727,0.1667,0.2069,90
D_Sampler_Plus_Weighted_Loss,subdomain,MEDICAL_SPECIALTY,0.5682,0.6944,0.625,36
D_Sampler_Plus_Weighted_Loss,subdomain,TECHNOLOGY,0.2533,0.1759,0.2077,108
D_Sampler_Plus_Weighted_Loss,subdomain,USER_INTERACTION_TYPE,1.0,1.0,1.0,80
D_Sampler_Plus_Weighted_Loss,intent,BUSINESS_OPERATIONS_AND_HEALTH,0.1111,0.3103,0.1636,29
D_Sampler_Plus_Weighted_Loss,intent,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,0.25,0.4444,0.32,27
D_Sampler_Plus_Weighted_Loss,intent,COMMUNICATION_EMAIL_CALL_AND_CONTACTS,0.2308,0.1667,0.1935,18
D_Sampler_Plus_Weighted_Loss,intent,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,0.3333,0.027,0.05,37
D_Sampler_Plus_Weighted_Loss,intent,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,0.3438,0.2444,0.2857,45
